"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV525",0.249106143476659,0.189393657745295,0.0154103234321115,0.156208660768133,0.734294173359026,0.976333702536411,0.998378830430797
"ASV526",0.245200308708621,0.200368697746145,0.0156996660007591,0.148335269095195,0.732350736239654,0.977265664602926,0.998521403436317
"ASV527",0.266623408052539,0.192562955515508,0.0161804494835598,0.167346042960709,0.744528923734853,0.976883920178891,0.998370800920399
"ASV528",0.245441323496108,0.203562337311988,0.0155635980787696,0.146936127803859,0.735774649687499,0.978269736966332,0.998627896850144
"ASV529",0.259722129605816,0.192367787353973,0.0159379548366727,0.162443317194011,0.740415280137747,0.976715693321444,0.998381610280376
"ASV530",0.251591387012316,0.195874381766848,0.016328015172521,0.155151692482027,0.729359304587671,0.975337569278074,0.998279864778104
"ASV531",0.237821785623773,0.214071275659337,0.0152055321793031,0.136890602345649,0.736694278194252,0.980141673630967,0.998852808096805
"ASV532",0.258579219581905,0.187962020895665,0.0155792591439498,0.16370915532638,0.741143550362726,0.976677236710372,0.998369980744383
"ASV533",0.272547325031515,0.18079038945194,0.0166224585029185,0.178038158683759,0.73876136427473,0.973629307134859,0.997929751192947
"ASV534",0.101547082532108,0.429130134088259,0.00972267009357412,0.0211938407289943,0.623751136739394,0.992183136881864,0.999897110087503
"ASV535",0.2245971312264,0.225735145848117,0.0147188135571231,0.123238484080042,0.732850891200049,0.981664026862983,0.999043844310106
"ASV536",0.249416530927806,0.19517877060676,0.0157801076894199,0.153759482893141,0.733212068533475,0.976509211796646,0.998412127008185
"ASV537",0.239392885155619,0.195256778942818,0.01502358490771,0.146503236789871,0.731941320337673,0.977495603434408,0.998554815083243
"ASV538",0.263725704462877,0.192501861418463,0.016015175225807,0.165245924714994,0.743556517694412,0.976995120326789,0.998394982205621
"ASV539",0.23480160259037,0.208106295026449,0.0154794913484907,0.137693936104056,0.727442157374658,0.978074685721257,0.998660615333179
"ASV540",0.263667919385757,0.190104733201538,0.016039575391138,0.166445244766916,0.741956752128825,0.976416928101055,0.998325487473851
"ASV541",0.291601671320276,0.168459684353823,0.0172283424379806,0.199582006422256,0.742371040160607,0.970845735786193,0.997408191034043
