"","psi","p11","p10","PoO.0","PoO.1","PoO.2"
"ASV212",0.336099454422515,0.255010019544293,0.0491041028557937,0.237073244886433,0.67317955671943,0.931756876387337
"ASV214",0.313644858013493,0.244836460798187,0.0413377864015638,0.220914891012686,0.680718380616398,0.94128181334949
"ASV216",0.306593903535439,0.247424353479561,0.0415080225593983,0.214196811704592,0.674205193855028,0.940158247840767
"ASV217",0.322999851008766,0.262529721225674,0.0488878681933905,0.222902393109733,0.665167664238914,0.932242032908983
"ASV218",0.314171545191816,0.245889024085526,0.0411856444066849,0.220801066128853,0.682642900667476,0.942290550405083
"ASV220",0.308165056491779,0.243974977651256,0.0415705279032022,0.217013672170708,0.673430243849942,0.938810415146134
"ASV221",0.30353409507576,0.256623287579986,0.0413595753147318,0.207649686987039,0.677098015798221,0.943751609809502
"ASV222",0.308052378081915,0.246767172074991,0.041639960714228,0.215693962348216,0.674650630221443,0.939886772397803
"ASV223",0.306199915410042,0.252950434889221,0.0418434150761389,0.211533755742457,0.675339124216071,0.941616930430907
"ASV224",0.305306888194679,0.24864828127822,0.0410614659008254,0.21247698367558,0.675871611629179,0.941573661868904
"ASV228",0.307544227438486,0.24819494539275,0.0414091065202729,0.214569188446587,0.67614264059405,0.941021993551759
"ASV230",0.316468897167273,0.24542019066002,0.0414405597949201,0.222944616441742,0.683389784916566,0.941989833543522
"ASV231",0.3228073856887,0.23908459239609,0.0412734828211729,0.230930017136579,0.68667359887743,0.941160177933922
"ASV232",0.314242562711126,0.249503673679245,0.0412612562548933,0.219235596980992,0.684451854377296,0.943680167998352
"ASV234",0.370908429183867,0.263500730343623,0.0538976855459054,0.263237957068605,0.69172676468244,0.933740244865042
"ASV235",0.309950870551067,0.250229686410475,0.0412536386499893,0.215502937514486,0.680578425617369,0.942941697165248
"ASV237",0.303086105106269,0.253178751674216,0.0409032174937689,0.208667331386509,0.677012472515167,0.943381189182373
"ASV240",0.300766039988761,0.255710035839523,0.0414426719485531,0.205927589148906,0.673285261646601,0.942449168778337
"ASV241",0.321492406435861,0.239758587873662,0.0418648218510488,0.229766979376544,0.682852528619631,0.939542449067121
"ASV242",0.309708982249379,0.243746328158852,0.0414902014893537,0.218319581597702,0.67528515376578,0.939338195271279
"ASV243",0.33161143214041,0.259630495315662,0.0491484630034108,0.231239966091315,0.671129825789279,0.93263711316186
"ASV244",0.31601979216592,0.247698951693581,0.0416923348908419,0.22163067566444,0.683031886907936,0.942223994884735
"ASV247",0.306929693596247,0.251495470013249,0.0413076705706431,0.212570754859405,0.677950952292331,0.942580686041164
"ASV248",0.317439692957564,0.245342778643995,0.0414776339201115,0.223771489833459,0.684128374351787,0.942102558674251
"ASV249",0.315228055847899,0.246635010742156,0.0413821075596673,0.221374396854835,0.683159254251504,0.942368788847126
"ASV250",0.3249366308078,0.239165367531023,0.041304098467061,0.232634945288197,0.688659377871238,0.941651994949237
"ASV253",0.328294515204568,0.23775582351157,0.0411650209918525,0.235986125532987,0.69174593364783,0.94220941846697
"ASV255",0.318229730785905,0.245530333800116,0.0414033610393778,0.22429157648178,0.685396399969027,0.942578351681154
"ASV257",0.303044578447706,0.251600569582637,0.0412700131364988,0.209459444160593,0.674188872693447,0.941726734448121
"ASV258",0.305020233782701,0.244876842126477,0.0408046142537399,0.213839962456148,0.67463884202055,0.940498909093394
"ASV259",0.306983436170915,0.250051615987494,0.0414844162021775,0.213320870676331,0.676275561024924,0.94149952257731
"ASV261",0.316143322201232,0.242209930737607,0.0409434997647727,0.223976809225323,0.683632391282836,0.941787022274283
"ASV262",0.319914566612486,0.242290455614014,0.0413464950674353,0.227123806929456,0.685411846387925,0.941702748067731
"ASV264",0.32229294165861,0.242483088093787,0.0417139232619163,0.229090261231042,0.686055492835084,0.941416897103925
"ASV267",0.314658946021485,0.240793593399928,0.0415313061512908,0.223644344634215,0.678306958505128,0.939149688303576
"ASV270",0.314050458486151,0.246821162297148,0.0412272401239383,0.220294124160754,0.682863571576435,0.942561115489348
"ASV272",0.32231646188874,0.244885057279247,0.0413000430544347,0.227837404354624,0.689561627825494,0.943571843813571
"ASV273",0.312908783028453,0.247226649410048,0.0408715118399908,0.219072933056267,0.683749291523975,0.943384392772015
"ASV275",0.490079000274076,0.39132399090933,0.056165938448071,0.285565947536505,0.81197152951528,0.979015460386733
"ASV276",0.316267585650837,0.240596821600823,0.0418424949117588,0.225144058667329,0.678252555434632,0.938626661955556
"ASV280",0.319304092957011,0.241043579757863,0.0416541997550686,0.227321035515261,0.682511869256106,0.940148950124282
"ASV281",0.309110838149625,0.245514961950019,0.041000125327062,0.21687171967767,0.67822963230456,0.941325625319789
"ASV283",0.242674180053159,0.497283011527611,0.0416881992265959,0.0810351016666343,0.667238497920325,0.978538690373194
"ASV284",0.300869837870298,0.251478830843414,0.0410681682981643,0.20774034839979,0.672881288387323,0.941645465698045
"ASV285",0.312417997470103,0.249848314640628,0.0412718336920116,0.217634773799209,0.682763829004526,0.94334802166709
"ASV286",0.308829481749274,0.253177808010687,0.0408355519173135,0.213145536866539,0.683240969323378,0.944980709692449
"ASV289",0.3099103943088,0.252467044506934,0.0411090076452636,0.214411464335261,0.682550161872391,0.944252901811405
"ASV291",0.318453522014996,0.243123055493036,0.0416419206559701,0.225669103037734,0.682991025178483,0.940923731213395
"ASV294",0.31059746410136,0.249718852685233,0.041279133922122,0.216253970899221,0.68081049429582,0.942817753354555
"ASV296",0.321433049331822,0.242804820902018,0.0413638305173551,0.228116881540119,0.687136643725632,0.942269640360072
"ASV297",0.173200519081152,0.577441658404485,0.0310049322944781,0.038310183918113,0.629813523058121,0.986424365162261
"ASV299",0.320876643506461,0.242315756953428,0.0415700006621539,0.227970660619939,0.685267686967374,0.94136392857171
"ASV301",0.300468774320829,0.25314570230313,0.0413138595437794,0.206778578447081,0.672167987696586,0.941611168895307
"ASV302",0.305417543783539,0.252151124413116,0.0412592846488314,0.211072867632215,0.67701808232585,0.942604118274516
"ASV303",0.314831905322506,0.246209321020984,0.0416757378523042,0.221358305049866,0.681042341193425,0.94130432998163
"ASV305",0.304462844474824,0.25046683915631,0.0415178268740092,0.211161864177876,0.673743997778902,0.940937021059992
"ASV307",0.311654885129173,0.24902957235804,0.0416277333354422,0.217527427148962,0.679732146708643,0.941871686882811
"ASV317",0.315235557530994,0.244648434156351,0.0412872350847846,0.222255371561311,0.682461247829018,0.941738324987808
"ASV320",0.318840640208,0.243822992204094,0.0411264260225052,0.225469461000457,0.68637002666416,0.942701670628177
"ASV321",0.312801094378866,0.246928980829768,0.0413169073770343,0.219281505890258,0.681217302260698,0.942056763128709
"ASV324",0.306309383392843,0.252247215133169,0.0416566004250537,0.211868708066317,0.675985996957322,0.941830774117504
"ASV326",0.306343684723299,0.24831584168014,0.0417344848130327,0.213679655779324,0.673332422496858,0.939883888988975
"ASV327",0.315851057184592,0.24205495887428,0.0416822689195877,0.224080764530013,0.679530624564147,0.939645834161945
"ASV330",0.298410652737825,0.449498557126578,0.0484294290880979,0.124613752636159,0.695479475334127,0.973433338967258
"ASV331",0.311863367237812,0.249794247421789,0.0417433168258431,0.217387094225468,0.679811961097202,0.941956926501113
"ASV332",0.310604936441424,0.245389333028528,0.0415465748765679,0.21831195032209,0.676912593984683,0.940182135805309
